(
	(1.000000e+02 5.000000e+00)
	(4.950000e+02 5.000000e+00)
	(4.951010e+02 4.998743e+00)
	(4.952020e+02 4.994972e+00)
	(4.953030e+02 4.988691e+00)
	(4.954040e+02 4.979907e+00)
	(4.955051e+02 4.968629e+00)
	(4.956061e+02 4.954867e+00)
	(4.957071e+02 4.938636e+00)
	(4.958081e+02 4.919952e+00)
	(4.959091e+02 4.898834e+00)
	(4.960101e+02 4.875303e+00)
	(4.961111e+02 4.849382e+00)
	(4.962121e+02 4.821099e+00)
	(4.963131e+02 4.790481e+00)
	(4.964141e+02 4.757559e+00)
	(4.965152e+02 4.722367e+00)
	(4.966162e+02 4.684939e+00)
	(4.967172e+02 4.645314e+00)
	(4.968182e+02 4.603531e+00)
	(4.969192e+02 4.559632e+00)
	(4.970202e+02 4.513662e+00)
	(4.971212e+02 4.465668e+00)
	(4.972222e+02 4.415696e+00)
	(4.973232e+02 4.363798e+00)
	(4.974242e+02 4.310026e+00)
	(4.975253e+02 4.254434e+00)
	(4.976263e+02 4.197077e+00)
	(4.977273e+02 4.138015e+00)
	(4.978283e+02 4.077305e+00)
	(4.979293e+02 4.015010e+00)
	(4.980303e+02 3.951192e+00)
	(4.981313e+02 3.885915e+00)
	(4.982323e+02 3.819246e+00)
	(4.983333e+02 3.751250e+00)
	(4.984343e+02 3.681997e+00)
	(4.985354e+02 3.611556e+00)
	(4.986364e+02 3.539999e+00)
	(4.987374e+02 3.467397e+00)
	(4.988384e+02 3.393823e+00)
	(4.989394e+02 3.319352e+00)
	(4.990404e+02 3.244059e+00)
	(4.991414e+02 3.168018e+00)
	(4.992424e+02 3.091308e+00)
	(4.993434e+02 3.014005e+00)
	(4.994444e+02 2.936186e+00)
	(4.995455e+02 2.857931e+00)
	(4.996465e+02 2.779318e+00)
	(4.997475e+02 2.700427e+00)
	(4.998485e+02 2.621336e+00)
	(4.999495e+02 2.542125e+00)
	(5.000505e+02 2.462875e+00)
	(5.001515e+02 2.383664e+00)
	(5.002525e+02 2.304573e+00)
	(5.003535e+02 2.225682e+00)
	(5.004545e+02 2.147069e+00)
	(5.005556e+02 2.068814e+00)
	(5.006566e+02 1.990995e+00)
	(5.007576e+02 1.913692e+00)
	(5.008586e+02 1.836982e+00)
	(5.009596e+02 1.760941e+00)
	(5.010606e+02 1.685648e+00)
	(5.011616e+02 1.611177e+00)
	(5.012626e+02 1.537603e+00)
	(5.013636e+02 1.465001e+00)
	(5.014646e+02 1.393444e+00)
	(5.015657e+02 1.323003e+00)
	(5.016667e+02 1.253750e+00)
	(5.017677e+02 1.185754e+00)
	(5.018687e+02 1.119085e+00)
	(5.019697e+02 1.053808e+00)
	(5.020707e+02 9.899898e-01)
	(5.021717e+02 9.276947e-01)
	(5.022727e+02 8.669853e-01)
	(5.023737e+02 8.079227e-01)
	(5.024747e+02 7.505665e-01)
	(5.025758e+02 6.949742e-01)
	(5.026768e+02 6.412020e-01)
	(5.027778e+02 5.893040e-01)
	(5.028788e+02 5.393324e-01)
	(5.029798e+02 4.913375e-01)
	(5.030808e+02 4.453677e-01)
	(5.031818e+02 4.014693e-01)
	(5.032828e+02 3.596864e-01)
	(5.033838e+02 3.200612e-01)
	(5.034848e+02 2.826335e-01)
	(5.035859e+02 2.474410e-01)
	(5.036869e+02 2.145191e-01)
	(5.037879e+02 1.839011e-01)
	(5.038889e+02 1.556177e-01)
	(5.039899e+02 1.296974e-01)
	(5.040909e+02 1.061663e-01)
	(5.041919e+02 8.504812e-02)
	(5.042929e+02 6.636411e-02)
	(5.043939e+02 5.013308e-02)
	(5.044949e+02 3.637138e-02)
	(5.045960e+02 2.509285e-02)
	(5.046970e+02 1.630887e-02)
	(5.047980e+02 1.002828e-02)
	(5.048990e+02 6.257385e-03)
	(5.050000e+02 5.000000e-03)
	(1.000000e+03 5.000000e-03)
);
